pair_id,condition,method,relative_feature_error,baseline_statistic,perturbed_statistic,absolute_statistic_change,baseline_p_value,perturbed_p_value,absolute_p_value_change,interpretation
pair_01,rotation_5,quotient_exact,0.84324731445548,0.003643781768319254,0.0024472483440017845,0.0011965334243174697,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,rotation_5,raw_coordinates,0.6540280245878793,0.0014130673413488282,0.002678905149419708,0.0012658378080708799,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,rotation_5,moment_registration,0.7294531461563436,-0.006535732918554804,-0.0051750172456282995,0.0013607156729265046,0.2109375,0.1875,0.0234375,approximate-action robustness; not exact invariance
pair_01,rotation_5,euler_secondary,0.07794333255903965,0.7535395717250372,0.6675873838324258,0.08595218789261139,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,rotation_10,quotient_exact,0.89671726143587,0.003643781768319254,0.005802914693409211,0.002159132925089957,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,rotation_10,raw_coordinates,0.8038353201281361,0.0014130673413488282,0.0026037885039315034,0.0011907211625826752,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,rotation_10,moment_registration,0.8123769826249079,-0.006535732918554804,-0.008623157046368735,0.0020874241278139305,0.2109375,0.3359375,0.125,approximate-action robustness; not exact invariance
pair_01,rotation_10,euler_secondary,0.08266121389248145,0.7535395717250372,0.7005270009825699,0.053012570742467235,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,rotation_20,quotient_exact,0.9714807590903392,0.003643781768319254,0.004147998701493849,0.0005042169331745949,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,rotation_20,raw_coordinates,0.8801653365882459,0.0014130673413488282,0.002794057626767543,0.001380990285418715,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,rotation_20,moment_registration,0.8662343608033755,-0.006535732918554804,-0.007471756869778079,0.0009360239512232749,0.2109375,0.2578125,0.046875,approximate-action robustness; not exact invariance
pair_01,rotation_20,euler_secondary,0.10756609052349479,0.7535395717250372,0.6637533488450796,0.08978622287995752,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,crop,quotient_exact,0.8252592502982152,0.003643781768319254,0.0009990410923805815,0.0026447406759386727,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,crop,raw_coordinates,0.3523058823340279,0.0014130673413488282,0.001494376994682023,8.130965333319473e-05,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,crop,moment_registration,0.6857210504008692,-0.006535732918554804,0.013791908603294711,0.020327641521849515,0.2109375,0.0078125,0.203125,approximate-action robustness; not exact invariance
pair_01,crop,euler_secondary,0.14777658666836488,0.7535395717250372,0.7699293969960398,0.016389825271002634,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,noise,quotient_exact,0.5948658453557201,0.003643781768319254,0.004362888075925886,0.0007191063076066317,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,noise,raw_coordinates,0.1775186595470144,0.0014130673413488282,0.0007708773392258728,0.0006421900021229554,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
pair_01,noise,moment_registration,0.3870000784404416,-0.006535732918554804,0.00012946537662417157,0.006665198295178976,0.2109375,0.078125,0.1328125,approximate-action robustness; not exact invariance
pair_01,noise,euler_secondary,0.06176210418672077,0.7535395717250372,0.7291024824922415,0.02443708923279564,0.0078125,0.0078125,0.0,approximate-action robustness; not exact invariance
