nuisance_seed,quotient_exact_max_abs_feature_error,raw_coordinates_max_abs_feature_error,moment_registration_max_abs_feature_error,euler_secondary_max_abs_feature_error,quotient_exact_max_abs_mmd2_difference,euler_secondary_max_abs_mmd2_difference,quotient_exact_max_abs_p_value_difference,euler_secondary_max_abs_p_value_difference,exact_invariance_gate_pass,tolerance
20260731,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260732,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260733,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260734,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260735,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260736,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260737,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260738,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260739,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260740,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260741,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260743,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260744,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260745,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260746,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260747,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260748,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260749,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
20260750,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1e-12
